Year,Series,Principal Export,Main Country of Destination,Units,Value
2020,Quantity (in tonnes kilogram),Wood,NEW CALEDONIA,kilogram,79
2020,Quantity (in tonnes kilogram),Wood,"CHINA, PEOPLES REPUBLIC OF",kilogram,19
2020,Quantity (in tonnes kilogram),Wood,CZECH REPUBLIC,kilogram,4
2020,Quantity (in tonnes kilogram),Wood,AUSTRALIA,kilogram,1
2020,Quantity (in tonnes kilogram),Wood,FIJI,kilogram,0
2021,Quantity (in tonnes kilogram),,,kilogram,55623
2021,Quantity (in tonnes kilogram),Beef,,kilogram,294
2021,Quantity (in tonnes kilogram),Cocoa,,kilogram,46906
2021,Quantity (in tonnes kilogram),Coconut Oil,,kilogram,1302
2021,Quantity (in tonnes kilogram),Copra,,kilogram,5901
2021,Quantity (in tonnes kilogram),Kava,,kilogram,762
2021,Quantity (in tonnes kilogram),Wood,,kilogram,458
2021,Quantity (in tonnes kilogram),Beef,JAPAN,kilogram,26
2021,Quantity (in tonnes kilogram),Beef,NEW ZEALAND,kilogram,42
2021,Quantity (in tonnes kilogram),Beef,PAPUA NEW GUINEA,kilogram,151
2021,Quantity (in tonnes kilogram),Beef,SOLOMON ISLANDS,kilogram,74
2021,Quantity (in tonnes kilogram),Cocoa,MALAYSIA,kilogram,1245
2021,Quantity (in tonnes kilogram),Cocoa,INDONESIA,kilogram,45540
2021,Quantity (in tonnes kilogram),Cocoa,NEW CALEDONIA,kilogram,105
2021,Quantity (in tonnes kilogram),Cocoa,AUSTRALIA,kilogram,9
2021,Quantity (in tonnes kilogram),Cocoa,FRENCH POLYNESIA,kilogram,2
2021,Quantity (in tonnes kilogram),Coconut oil,MALAYSIA,kilogram,558
2021,Quantity (in tonnes kilogram),Coconut oil,SRI LANKA,kilogram,391
2021,Quantity (in tonnes kilogram),Coconut oil,SINGAPORE,kilogram,241
2021,Quantity (in tonnes kilogram),Coconut oil,FIJI,kilogram,68
2021,Quantity (in tonnes kilogram),Coconut oil,AUSTRALIA,kilogram,43
2021,Quantity (in tonnes kilogram),Copra,PHILIPPINES,kilogram,4419
2021,Quantity (in tonnes kilogram),Copra,BANGLADESH,kilogram,1020
2021,Quantity (in tonnes kilogram),Copra,UNITED ARAB EMIRATES,kilogram,351
2021,Quantity (in tonnes kilogram),Copra,MALAYSIA,kilogram,111
2021,Quantity (in tonnes kilogram),Kava,FIJI,kilogram,295
2021,Quantity (in tonnes kilogram),Kava,KIRIBATI,kilogram,118
2021,Quantity (in tonnes kilogram),Kava,UNITED STATES OF AMERICA,kilogram,89
2021,Quantity (in tonnes kilogram),Kava,NEW CALEDONIA,kilogram,160
2021,Quantity (in tonnes kilogram),Kava,"CHINA, PEOPLES REPUBLIC OF",kilogram,72
2021,Quantity (in tonnes kilogram),Wood,"CHINA, PEOPLES REPUBLIC OF",kilogram,403
2021,Quantity (in tonnes kilogram),Wood,HONG KONG,kilogram,3
2021,Quantity (in tonnes kilogram),Wood,AUSTRALIA,kilogram,36
2021,Quantity (in tonnes kilogram),Wood,NEW CALEDONIA,kilogram,16
2017,Price per unit (vatu per kilogram/litre),,,vatu per kilogram/litre,146
2017,Price per unit (vatu per kilogram/litre),Beef,,vatu per kilogram/litre,543
2017,Price per unit (vatu per kilogram/litre),Cocoa,,vatu per kilogram/litre,162
2017,Price per unit (vatu per kilogram/litre),Coconut oil,,vatu per kilogram/litre,121
2017,Price per unit (vatu per kilogram/litre),Copra,,vatu per kilogram/litre,81
2017,Price per unit (vatu per kilogram/litre),Kava,,vatu per kilogram/litre,1108
2017,Price per unit (vatu per kilogram/litre),Wood ,,vatu per kilogram/litre,2924
2017,Price per unit (vatu per kilogram/litre),Beef,JAPAN,vatu per kilogram/litre,559
2017,Price per unit (vatu per kilogram/litre),Beef,PAPUA NEW GUINEA,vatu per kilogram/litre,526
2017,Price per unit (vatu per kilogram/litre),Beef,SOLOMON ISLANDS,vatu per kilogram/litre,529
2017,Price per unit (vatu per kilogram/litre),Cocoa,MALAYSIA,vatu per kilogram/litre,157
2017,Price per unit (vatu per kilogram/litre),Cocoa,AUSTRALIA,vatu per kilogram/litre,197
2017,Price per unit (vatu per kilogram/litre),Cocoa,BELGIUM,vatu per kilogram/litre,194
2017,Price per unit (vatu per kilogram/litre),Cocoa,UNITED KINGDOM,vatu per kilogram/litre,250
2017,Price per unit (vatu per kilogram/litre),Cocoa,NEW ZEALAND,vatu per kilogram/litre,243
2017,Price per unit (vatu per kilogram/litre),Coconut oil,MALAYSIA,vatu per kilogram/litre,122
2017,Price per unit (vatu per kilogram/litre),Coconut oil,"TAIWAN, PROVINCE OF CHINA",vatu per kilogram/litre,148
2017,Price per unit (vatu per kilogram/litre),Coconut oil,NEW ZEALAND,vatu per kilogram/litre,82
2017,Price per unit (vatu per kilogram/litre),Coconut oil,AUSTRALIA,vatu per kilogram/litre,96
2017,Price per unit (vatu per kilogram/litre),Coconut oil,NEW CALEDONIA,vatu per kilogram/litre,72
2017,Price per unit (vatu per kilogram/litre),Copra,PHILIPPINES,vatu per kilogram/litre,81
2017,Price per unit (vatu per kilogram/litre),Copra,BANGLADESH,vatu per kilogram/litre,79
2017,Price per unit (vatu per kilogram/litre),Copra,AUSTRALIA,vatu per kilogram/litre,192
2017,Price per unit (vatu per kilogram/litre),Copra,NEW CALEDONIA,vatu per kilogram/litre,201
2017,Price per unit (vatu per kilogram/litre),Kava,KIRIBATI,vatu per kilogram/litre,1021
2017,Price per unit (vatu per kilogram/litre),Kava,FIJI,vatu per kilogram/litre,1247
2017,Price per unit (vatu per kilogram/litre),Kava,UNITED STATES OF AMERICA,vatu per kilogram/litre,1078
2017,Price per unit (vatu per kilogram/litre),Kava,NEW CALEDONIA,vatu per kilogram/litre,1131
2017,Price per unit (vatu per kilogram/litre),Kava,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,1245
2017,Price per unit (vatu per kilogram/litre),Wood,"CHINA, PEOPLES REPUBLIC OF",vatu per kilogram/litre,2788
2017,Price per unit (vatu per kilogram/litre),Wood,HONG KONG,vatu per kilogram/litre,3471
2017,Price per unit (vatu per kilogram/litre),Wood,AUSTRALIA,vatu per kilogram/litre,4059
2017,Price per unit (vatu per kilogram/litre),Wood,NEW CALEDONIA,vatu per kilogram/litre,1982
2017,Price per unit (vatu per kilogram/litre),Wood,FIJI,vatu per kilogram/litre,2135
2018,Price per unit (vatu per kilogram/litre),,,vatu per kilogram/litre,296
2018,Price per unit (vatu per kilogram/litre),Beef,,vatu per kilogram/litre,492
2018,Price per unit (vatu per kilogram/litre),Cocoa,,vatu per kilogram/litre,182
2018,Price per unit (vatu per kilogram/litre),Coconut oil,,vatu per kilogram/litre,110
2018,Price per unit (vatu per kilogram/litre),Copra,,vatu per kilogram/litre,61
2018,Price per unit (vatu per kilogram/litre),Kava,,vatu per kilogram/litre,3098
2018,Price per unit (vatu per kilogram/litre),Wood,,vatu per kilogram/litre,1367
2018,Price per unit (vatu per kilogram/litre),Beef,JAPAN,vatu per kilogram/litre,474
2018,Price per unit (vatu per kilogram/litre),Beef,SOLOMON ISLANDS,vatu per kilogram/litre,485
2018,Price per unit (vatu per kilogram/litre),Beef,PAPUA NEW GUINEA,vatu per kilogram/litre,552
2018,Price per unit (vatu per kilogram/litre),Beef,AUSTRALIA,vatu per kilogram/litre,552
2018,Price per unit (vatu per kilogram/litre),Cocoa,MALAYSIA,vatu per kilogram/litre,186
2018,Price per unit (vatu per kilogram/litre),Cocoa,INDONESIA,vatu per kilogram/litre,155
