Year,Series,Major Industry,Value
2020,Proportion of industry (percentage),Wholesale and retail trade; repair of motor vehicles and motorcycles,               12 
2020,Proportion of industry (percentage),Not available,               71 
2021,Total value in VT (millions),,"      218,101 "
2021,Total value in VT (millions),Accommodation and food service activities,"          1,094 "
2021,Total value in VT (millions),Administrative and support service activities,"          1,745 "
2021,Total value in VT (millions),"Agriculture, forestry and fishing",             756 
2021,Total value in VT (millions),"Arts, entertainment and recreation",             290 
2021,Total value in VT (millions),Construction,"          3,177 "
2021,Total value in VT (millions),Education,                 8 
2021,Total value in VT (millions),"Electricity, gas, steam and air conditioning supply","          2,318 "
2021,Total value in VT (millions),Financial and insurance activities,"          1,228 "
2021,Total value in VT (millions),Human health and social work activities,             159 
2021,Total value in VT (millions),Information and communication,"          4,302 "
2021,Total value in VT (millions),Manufacturing,"          2,636 "
2021,Total value in VT (millions),Mining and quarrying,             439 
2021,Total value in VT (millions),Other service activities,               21 
2021,Total value in VT (millions),"Professional, scientific and technical activities",             707 
2021,Total value in VT (millions),Public administration and defence; compulsory social security,"        12,506 "
2021,Total value in VT (millions),Real estate activities,             501 
2021,Total value in VT (millions),Transportation and storage,"          4,665 "
2021,Total value in VT (millions),"Water supply; sewerage, waste management and remediation activities",               -   
2021,Total value in VT (millions),Wholesale and retail trade; repair of motor vehicles and motorcycles,"        25,699 "
2021,Total value in VT (millions),Not available,"      155,852 "
2021,Proportion of industry (percentage),Accommodation and food service activities,1
2021,Proportion of industry (percentage),Administrative and support service activities,1
2021,Proportion of industry (percentage),"Agriculture, forestry and fishing",0
2021,Proportion of industry (percentage),"Arts, entertainment and recreation",0
2021,Proportion of industry (percentage),Construction,1
2021,Proportion of industry (percentage),Education,0
2021,Proportion of industry (percentage),"Electricity, gas, steam and air conditioning supply",1
2021,Proportion of industry (percentage),Financial and insurance activities,1
2021,Proportion of industry (percentage),Human health and social work activities,0
2021,Proportion of industry (percentage),Information and communication,2
2021,Proportion of industry (percentage),Manufacturing,1
2021,Proportion of industry (percentage),Mining and quarrying,0
2021,Proportion of industry (percentage),Other service activities,0
2021,Proportion of industry (percentage),"Professional, scientific and technical activities",0
2021,Proportion of industry (percentage),Public administration and defence; compulsory social security,6
2021,Proportion of industry (percentage),Real estate activities,0
2021,Proportion of industry (percentage),Transportation and storage,2
2021,Proportion of industry (percentage),"Water supply; sewerage, waste management and remediation activities",0
2021,Proportion of industry (percentage),Wholesale and retail trade; repair of motor vehicles and motorcycles,12
2021,Proportion of industry (percentage),Not available,71
