Year,Series,Commodity,Country,Value,
2022,Quantity (in tonnes kilogram),Cocoa,,857,
2022,Quantity (in tonnes kilogram),Coconut oil,,1412,
2022,Quantity (in tonnes kilogram),Copra,,4500,
2022,Quantity (in tonnes kilogram),Kava,,715,
2022,Quantity (in tonnes kilogram),Wood,,39,
2022,Quantity (in tonnes kilogram),Beef,New Zealand,29,
2022,Quantity (in tonnes kilogram),Beef,Papua New Guinea,169,
2022,Quantity (in tonnes kilogram),Beef,Solomon Islands,29,
2022,Quantity (in tonnes kilogram),Cocoa,Malaysia,855,
2022,Quantity (in tonnes kilogram),Coconut Oil,Australia,168,
2022,Quantity (in tonnes kilogram),Coconut Oil,Fiji,46,
2022,Quantity (in tonnes kilogram),Coconut Oil,Malaysia,510,
2022,Quantity (in tonnes kilogram),Coconut Oil,Philippines,555,
2022,Quantity (in tonnes kilogram),Coconut Oil,Singapore,133,
2022,Quantity (in tonnes kilogram),Copra,Bangladesh,111,
2022,Quantity (in tonnes kilogram),Copra,Malaysia,710,
2022,Quantity (in tonnes kilogram),Copra,Philippines,3679,
2022,Quantity (in tonnes kilogram),Kava,China,172,
2022,Quantity (in tonnes kilogram),Kava,Fiji,167,
2022,Quantity (in tonnes kilogram),Kava,Kiribati,145,
2022,Quantity (in tonnes kilogram),Kava,New Caledonia,111,
2022,Quantity (in tonnes kilogram),Kava,United States of America,91,
2022,Quantity (in tonnes kilogram),Wood,China,30,
2022,Quantity (in tonnes kilogram),Wood,Hong Kong,5,
2022,Quantity (in tonnes kilogram),Wood,New Caledonia,5,
2023,Quantity (in tonnes kilogram),,,,
2023,Quantity (in tonnes kilogram),Beef,,102,
2023,Quantity (in tonnes kilogram),Cocoa,,896,
2023,Quantity (in tonnes kilogram),Coconut oil,,2026,
2023,Quantity (in tonnes kilogram),Copra,,8969,
2023,Quantity (in tonnes kilogram),Kava,,994,
2023,Quantity (in tonnes kilogram),Wood,,997,
2023,Quantity (in tonnes kilogram),Beef,Papua New Guinea,89,
2023,Quantity (in tonnes kilogram),Beef,Solomon Islands,13,
2023,Quantity (in tonnes kilogram),Cocoa,Indonesia,300,
2023,Quantity (in tonnes kilogram),Cocoa,Malaysia,540,
2023,Quantity (in tonnes kilogram),Cocoa,New Caledonia,50,
2023,Quantity (in tonnes kilogram),Coconut Oil,Australia,141,
2023,Quantity (in tonnes kilogram),Coconut Oil,Malaysia,1016,
2023,Quantity (in tonnes kilogram),Coconut Oil,Singapore,282,
2023,Quantity (in tonnes kilogram),Coconut Oil,Taiwan,544,
2023,Quantity (in tonnes kilogram),Copra,Bangladesh,218,
2023,Quantity (in tonnes kilogram),Copra,Malaysia,450,
2023,Quantity (in tonnes kilogram),Copra,Philippines,8302,
2023,Quantity (in tonnes kilogram),Kava,China,326,
2023,Quantity (in tonnes kilogram),Kava,Fiji,133,
2023,Quantity (in tonnes kilogram),Kava,Kiribati,247,
2023,Quantity (in tonnes kilogram),Kava,New Caledonia,166,
2023,Quantity (in tonnes kilogram),Kava,United States of America,80,
2023,Quantity (in tonnes kilogram),Wood,China,997,
2024,Quantity (in tonnes kilogram),,,81450,
2024,Quantity (in tonnes kilogram),Beef,,384,
2024,Quantity (in tonnes kilogram),Cocoa,,49694,
2024,Quantity (in tonnes kilogram),Coconut oil,,5565,
2024,Quantity (in tonnes kilogram),Copra,,19523,
2024,Quantity (in tonnes kilogram),Kava,,3557,
2024,Quantity (in tonnes kilogram),Wood,,2727,
2024,Quantity (in tonnes kilogram),Beef,Papua New Guinea,256,
2024,Quantity (in tonnes kilogram),Beef,Solomon Islands,87,
2024,Quantity (in tonnes kilogram),Beef,Australia,41,
2024,Quantity (in tonnes kilogram),Cocoa,Malaysia,3328,
2024,Quantity (in tonnes kilogram),Cocoa,Indonesia,46109,
2024,Quantity (in tonnes kilogram),Cocoa,India,74,
2024,Quantity (in tonnes kilogram),Cocoa,New Caledonia,180,
2024,Quantity (in tonnes kilogram),Cocoa,United States of America,3,
2024,Quantity (in tonnes kilogram),Coconut Oil,Malaysia,2963,
2024,Quantity (in tonnes kilogram),Coconut Oil,Singapore,1048,
2024,Quantity (in tonnes kilogram),Coconut Oil,Taiwan,1088,
2024,Quantity (in tonnes kilogram),Coconut Oil,Australia,466,
2024,Quantity (in tonnes kilogram),Copra,Philippines,19523,
2024,Quantity (in tonnes kilogram),Kava,Kiribati,790,
2024,Quantity (in tonnes kilogram),Kava,United States of America,496,
2024,Quantity (in tonnes kilogram),Kava,China,827,
2024,Quantity (in tonnes kilogram),Kava,Fiji,846,
2024,Quantity (in tonnes kilogram),Kava,New Caledonia,598,
2024,Quantity (in tonnes kilogram),Wood,China,2719,
2024,Quantity (in tonnes kilogram),Wood,Hong Kong,8,
2017,Price per unit (vatu per kilogram/litre),Beef,,543,
2017,Price per unit (vatu per kilogram/litre),Cocoa,,162,
2017,Price per unit (vatu per kilogram/litre),Coconut oil,,121,
2017,Price per unit (vatu per kilogram/litre),Copra,,81,
2017,Price per unit (vatu per kilogram/litre),Kava,,1108,
2017,Price per unit (vatu per kilogram/litre),Wood ,,2924,
2017,Price per unit (vatu per kilogram/litre),Beef,Japan,559,
2017,Price per unit (vatu per kilogram/litre),Beef,Papua New Guinea,526,
2017,Price per unit (vatu per kilogram/litre),Beef,Solomon Islands,529,
2017,Price per unit (vatu per kilogram/litre),Cocoa,Malaysia,157,
2017,Price per unit (vatu per kilogram/litre),Cocoa,Australia,197,
2017,Price per unit (vatu per kilogram/litre),Cocoa,Belgium,194,
2017,Price per unit (vatu per kilogram/litre),Cocoa,United Kingdom,250,
2017,Price per unit (vatu per kilogram/litre),Cocoa,New Zealand,243,
2017,Price per unit (vatu per kilogram/litre),Coconut oil,Malaysia,122,
2017,Price per unit (vatu per kilogram/litre),Coconut oil,Taiwan,148,
2017,Price per unit (vatu per kilogram/litre),Coconut oil,New Zealand,82,
2017,Price per unit (vatu per kilogram/litre),Coconut oil,Australia,96,
2017,Price per unit (vatu per kilogram/litre),Coconut oil,New Caledonia,72,
2017,Price per unit (vatu per kilogram/litre),Copra,Philippines,81,
2017,Price per unit (vatu per kilogram/litre),Copra,Bangladesh,79,
2017,Price per unit (vatu per kilogram/litre),Kava,Kiribati,1021,
2017,Price per unit (vatu per kilogram/litre),Kava,Fiji,1247,
2017,Price per unit (vatu per kilogram/litre),Kava,United States of America,1078,
2017,Price per unit (vatu per kilogram/litre),Kava,New Caledonia,1131,
2017,Price per unit (vatu per kilogram/litre),Kava,China,1245,
2017,Price per unit (vatu per kilogram/litre),Wood,China,2788,
