Year,Major Industry,Minor Industry,Value
2016,Information and communication,Television programming and broadcasting activities,5
2016,Administrative and support service activities,Travel agency and tour operator activities,55
2016,Financial and insurance activities,"Trusts, funds and similar financial entities",4
2016,"Professional, scientific and technical activities",Veterinary activities,3
2016,Transportation and storage,Warehousing and storage,9
2016,"Water supply; sewerage, waste management and remediation activities",Waste collection,3
2016,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2016,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",4
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,5
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",3
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,14
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3
2016,Information and communication,Wired telecommunications activities,2
2016,Information and communication,Wireless telecommunications activities,10
2017,,,4357
2017,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",32
2017,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",17
2017,Financial and insurance activities,Activities auxiliary to insurance and pension funding,16
2017,Other service activities,"Activities of business, employers and professional membership organizations",1
2017,Administrative and support service activities,Activities of call centres,
2017,Administrative and support service activities,Activities of employment placement agencies,2
2017,"Professional, scientific and technical activities",Activities of head offices,26
2017,"Professional, scientific and technical activities",Advertising,16
2017,"Agriculture, forestry and fishing",Animal production,9
2017,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,35
2017,Accommodation and food service activities,Beverage serving activities,81
2017,Construction,Building completion and finishing,2
2017,Manufacturing,Building of ships and boats,3
2017,Administrative and support service activities,Business support service activities n.e.c.,11
2017,Manufacturing,Casting of metals,
2017,Administrative and support service activities,Cleaning activities,21
2017,Information and communication,"Computer programming, consultancy and related activities",7
2017,Construction,Construction of buildings,180
2017,Construction,Construction of other civil engineering projects,3
2017,Construction,Construction of roads and railways,15
2017,Construction,Construction of utility projects,2
2017,Transportation and storage,Courier activities,2
2017,"Arts, entertainment and recreation","Creative, arts and entertainment activities",9
2017,Information and communication,"Data processing, hosting and related activities; web portals",2
2017,Construction,Demolition and site preparation,4
2017,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",7
2017,Construction,"Electrical, plumbing and other construction installation activities",55
2017,Accommodation and food service activities,Event catering and other food service activities,15
2017,"Agriculture, forestry and fishing",Fishing,3
2017,"Arts, entertainment and recreation",Gambling and betting activities,1
2017,"Agriculture, forestry and fishing",Growing of non-perennial crops,2
2017,"Agriculture, forestry and fishing",Growing of perennial crops,1
2017,Education,Higher education,6
2017,Human health and social work activities,Hospital activities,1
2017,Transportation and storage,Inland water transport,
2017,Administrative and support service activities,Landscape care and maintenance service activities,11
2017,"Professional, scientific and technical activities",Legal activities,33
2017,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2017,"Agriculture, forestry and fishing",Logging,4
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,64
2017,"Professional, scientific and technical activities",Management consultancy activities,91
2017,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1
2017,Manufacturing,Manufacture of basic iron and steel,6
2017,Manufacturing,Manufacture of beverages,9
2017,Manufacturing,Manufacture of dairy products,1
2017,Manufacturing,Manufacture of furniture,2
2017,Manufacturing,Manufacture of general-purpose machinery,1
2017,Manufacturing,Manufacture of knitted and crocheted apparel,1
2017,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,9
2017,Manufacturing,Manufacture of other chemical products,14
2017,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2017,Manufacturing,Manufacture of other food products,37
