Year,Major Industry,Minor Industry,Value
2023,Information and communication,Radio broadcasting,2
2023,Real estate activities,Real estate activities on a fee or contract basis,134
2023,Real estate activities,Real estate activities with own or leased property,160
2023,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,1
2023,Administrative and support service activities,Renting and leasing of motor vehicles,43
2023,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",57
2023,Administrative and support service activities,Renting and leasing of personal and household goods,10
2023,Other service activities,Repair of computers and communication equipment,58
2023,Manufacturing,"Repair of fabricated metal products, machinery and equipment",63
2023,Other service activities,Repair of personal and household goods,23
2023,"Professional, scientific and technical activities",Research and experimental development on natural sciences and engineering,2
2023,Accommodation and food service activities,Restaurants and mobile food service activities,331
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,1865
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,223
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,13
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",1194
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,13
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,590
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,167
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,532
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",27
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,24
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,14
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",10
2023,Information and communication,Satellite telecommunications activities,5
2023,Manufacturing,Sawmilling and planing of wood,14
2023,Transportation and storage,Sea and coastal water transport,163
2023,Education,Secondary education,2
2023,Administrative and support service activities,Security systems service activities,5
2023,"Water supply; sewerage, waste management and remediation activities",Sewerage,2
2023,Accommodation and food service activities,Short term accommodation activities,335
2023,"Agriculture, forestry and fishing",Silviculture and other forestry activities,2
2023,Information and communication,Software publishing,1
2023,Information and communication,Sound recording and music publishing activities,2
2023,"Professional, scientific and technical activities",Specialized design activities,10
2023,Manufacturing,"Spinning, weaving and finishing of textiles",27
2023,"Arts, entertainment and recreation",Sports activities,37
2023,"Electricity, gas, steam and air conditioning supply",Steam and air conditioning supply,1
2023,Transportation and storage,Support activities for transportation,79
2023,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,1
2023,"Agriculture, forestry and fishing",Support services to forestry,5
2023,"Professional, scientific and technical activities",Technical testing and analysis,2
2023,Information and communication,Television programming and broadcasting activities,8
2023,Administrative and support service activities,Temporary employment agency activities,2
2023,Administrative and support service activities,Travel agency and tour operator activities,98
2023,Financial and insurance activities,"Trusts, funds and similar financial entities",5
2023,"Professional, scientific and technical activities",Veterinary activities,13
2023,Transportation and storage,Warehousing and storage,21
2023,"Water supply; sewerage, waste management and remediation activities",Waste collection,8
2023,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,2
2023,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",15
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,39
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",21
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,115
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",9
2023,Information and communication,Wired telecommunications activities,1
2023,Information and communication,Wireless telecommunications activities,10
2023,N/A,N/A,122
