Year,Budget Series,Ministry,Department,Activity,Units,Value
2019,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),53.069341
2019,Budget,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1510.590572
2019,Budget,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),121.983999
2019,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),20.24787
2019,Budget,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),7.797207
2019,Budget,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),131.667617
2019,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),189.237525
2019,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),5718.231425
2019,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),12.482107
2019,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),113.90512
2019,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),49.612861
2019,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),11.881362
2019,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),161.009901
2019,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),25.61317
2019,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),950.876674
2019,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),29.94323
2019,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),57.143136
2019,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),112.244482
2019,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),873.142873
2019,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),61.442645
2019,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),2.642014
2019,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),40.514047
2019,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),23.208892
2019,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),306.768753
2019,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),103.080311
2019,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),29.886729
2019,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),11.560357
2019,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),17.647859
2019,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),206.959644
2019,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),55.609182
2019,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),23.62512
2019,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),6.782393
2019,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),221.433888
2019,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),5.347571
2019,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.640412
2019,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),2.622043
2019,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),27.906261
2019,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),44.196631
2019,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),1.93
2019,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.377
2019,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),10.012828
2019,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),4.022562
2019,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),22.433859
2019,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),19.533247
2019,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),43.179096
2019,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),11.697096
2019,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),189.414075
2019,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),70.409341
2019,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),13.677019
2019,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),16.471776
2019,Budget,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),3.591312
2019,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),4.188432
2019,Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),235.858539
2019,Budget,Prime Ministers Ministry,Parliamentary Secretariat,,Value in Millions (VT),1.23846
2019,Budget,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),48.204802
2019,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),42.271756
2019,Budget,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),65.584444
2020,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),12.21944
2020,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.017157
2020,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),123.015314
2020,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),30.713739
2020,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),22.051769
2020,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),28.553531
2020,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),1091.058425
2020,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),18.878449
2020,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),54.50238
2020,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),73.310808
2020,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),10.552722
2020,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),24.449573
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),150.109903
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),512.743385
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),205.61639
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),107.572632
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),25.632054
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),247.727667
2020,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,,Value in Millions (VT),-0.071668
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),14.379403
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,,Value in Millions (VT),12.98316
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),134.457896
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),23.89513
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),66.616645
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),18.850289
2020,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),43.138264
2020,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),9.746137
2020,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),83.030007
2020,Actual,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1528.995957
2020,Actual,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),334.535199
2020,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),14.610541
2020,Actual,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),6.208754
2020,Actual,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),303.604869
2020,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),210.671535
2020,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),14059.82337
2020,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),9.554049
2020,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),126.876348
2020,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),157.903898
2020,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),37.7762
2020,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),237.2643
2020,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),33.929161
2020,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),1188.549464
2020,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),15.338071
2020,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),73.629534
2020,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),133.177719
2020,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),767.808023
2020,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),88.57421
2020,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),10.736019
2020,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),46.431415
2020,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),18.14451
2020,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),500.948063
2020,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),124.642861
2020,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),202.151944
2020,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.71907
2020,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),21.391309
2020,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),221.389775
2020,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),101.54066
2020,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),32.918025
2020,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),4.025661
2020,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),47.125932
2020,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),7.362978
2020,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.576755
2020,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),7.238587
2020,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),81.362164
2020,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),124.742854
2020,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),2.948122
2020,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),71.623127
2020,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),10.043259
2020,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),2.988194
2020,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),38.737699
2020,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),36.956441
2020,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),75.941335
2020,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),17.833298
2020,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),99.68979
2020,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),72.783025
2020,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),7.137443
2020,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),25.935769
2020,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),2.649611
2020,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),10.319326
2020,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),232.1249
2020,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),86.530739
2020,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),50.688145
2020,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),122.693914
2020,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),20.963721
2020,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),1.86683
2020,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),123.51474
2020,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),32.972367
2020,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),35.23972
2020,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),28.985092
2020,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),1073.958771
2020,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),19.238436
2020,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),54.432658
2020,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),69.980077
2020,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),11.13625
2020,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),24.595349
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),155.366851
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),537.23255
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),222.933936
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),120.879279
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),37.323226
2020,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),251.425626
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),14.405079
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,,Value in Millions (VT),12.962807
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),134.403486
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),23.970057
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),67.505076
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),21.042926
2020,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),43.909
2020,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),9.678404
2020,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),83.019472
2020,Budget,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1510.528006
2020,Budget,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),333.047795
2020,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),13.214976
2020,Budget,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),7.982237
2020,Budget,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),303.998436
2020,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),220.550442
2020,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),19334.05831
2020,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),23.63524
2020,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),155.271239
2020,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),161.856178
2020,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),37.786842
2020,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),247.209039
2020,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),34.447574
2020,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),1327.486054
2020,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),16.949949
2020,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),106.043575
2020,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),133.855938
2020,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),833.872144
2020,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),93.125754
2020,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),13.36149
2020,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),49.651087
2020,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),20.402071
2020,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),507.383041
2020,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),126.163319
2020,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),203.76702
2020,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),1.922177
2020,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),19.315025
2020,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),226.52599
2020,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),101.567212
2020,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),34.441074
2020,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),4.210801
2020,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),701.20285
2020,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),8.21087
2020,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.631338
2020,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),7.25
2020,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),81.732419
2020,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),127.985356
2020,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.2
2020,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),58.004288
2020,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),10.826862
2020,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),3.02
2020,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),39.624206
2020,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),44.133286
2020,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),78.345084
2020,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),18.632976
2020,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),270.946356
2020,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),80.73653
2020,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),10.572484
2020,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),422.5448
2020,Budget,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),2.62762
2020,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),10.384377
2020,Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),231.415288
2020,Budget,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),88.370259
2020,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),51.008992
2020,Budget,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),144.982403
2021,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),8.284594
2021,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.11075
2021,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),62.339423
2021,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),20.29814
2021,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),4.228738
2021,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),5.147871
2021,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),469.526495
2021,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),25.23547
2021,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),9.921681
2021,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),42.308371
2021,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),3.177836
2021,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),14.979593
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),109.765054
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),88.107795
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),-25.056074
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),90.860827
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),19.428827
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),101.852728
2021,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,,Value in Millions (VT),-0.05922
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),2.520469
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,,Value in Millions (VT),9.820139
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),105.755988
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),11.693659
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),13.407975
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),8.895149
2021,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),18.175328
2021,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),-0.06635
2021,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),5.464223
2021,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),62.617908
2021,Actual,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1337.83827
2021,Actual,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),101.426841
2021,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),4.560271
2021,Actual,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),2.720263
2021,Actual,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),646.18688
2021,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),84.268181
2021,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),5902.007413
2021,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),9.901445
2021,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),56.869753
2021,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),67.191955
2021,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),1.804987
2021,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),75.829201
