Year,Budget Series,Ministry,Department,Activity,Units,Value
2015,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),923.488938
2015,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),413.709011
2015,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),99.89218
2015,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),86.720492
2015,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),117.417231
2015,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),70.737065
2015,Budget,Prime Ministers Ministry,,,Value in Millions (VT),320.56523
2016,Actual,Constitutional Agencies,,,Value in Millions (VT),746.033775
2016,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),226.409526
2016,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),165.724606
2016,Actual,Ministry of Education & Training,,,Value in Millions (VT),846.446712
2016,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),7115.592657
2016,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),162.613419
2016,Actual,Ministry of Health,,,Value in Millions (VT),626.709894
2016,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1037.371111
2016,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),482.199527
2016,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),114.169396
2016,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),101.862105
2016,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),127.729218
2016,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),229.803046
2016,Actual,Prime Ministers Ministry,,,Value in Millions (VT),384.885224
2016,Budget,Constitutional Agencies,,,Value in Millions (VT),726.329065
2016,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),170.218084
2016,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),96.039552
2016,Budget,Ministry of Education & Training,,,Value in Millions (VT),862.437305
2016,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),5505.847075
2016,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),144.648841
2016,Budget,Ministry of Health,,,Value in Millions (VT),642.050089
2016,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1143.888299
2016,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),449.448166
2016,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),104.179794
2016,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),79.977426
2016,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),104.48658
2016,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),77.229835
2016,Budget,Prime Ministers Ministry,,,Value in Millions (VT),356.685025
2017,Actual,Constitutional Agencies,,,Value in Millions (VT),784.693322
2017,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),313.900078
2017,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),151.093301
2017,Actual,Ministry of Education & Training,,,Value in Millions (VT),946.769101
2017,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),7218.441403
2017,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),288.010532
2017,Actual,Ministry of Health,,,Value in Millions (VT),781.954641
2017,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1174.272125
2017,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),525.024157
2017,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),125.152374
2017,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),120.069879
2017,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),139.459368
2017,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),452.47363
2017,Actual,Prime Ministers Ministry,,,Value in Millions (VT),398.033123
2017,Budget,Constitutional Agencies,,,Value in Millions (VT),742.500381
2017,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),192.75222
2017,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),125.990539
2017,Budget,Ministry of Education & Training,,,Value in Millions (VT),1011.043409
2017,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),5100.317204
2017,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),166.313526
2017,Budget,Ministry of Health,,,Value in Millions (VT),696.723429
2017,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1188.094768
2017,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),536.802915
2017,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),105.813481
2017,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),118.096276
2017,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),136.904066
2017,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),300.185235
2017,Budget,Prime Ministers Ministry,,,Value in Millions (VT),356.640061
2018,Actual,Constitutional Agencies,,,Value in Millions (VT),945.419877
2018,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),328.576693
2018,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),118.460893
2018,Actual,Ministry of Education & Training,,,Value in Millions (VT),1519.335999
2018,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),10699.35228
2018,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),195.625545
2018,Actual,Ministry of Health,,,Value in Millions (VT),886.873454
2018,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1142.113807
2018,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),696.112156
2018,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),141.79161
2018,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),121.662933
2018,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),192.231353
2018,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),90.11014
2018,Actual,Prime Ministers Ministry,,,Value in Millions (VT),428.923195
2018,Budget,Constitutional Agencies,,,Value in Millions (VT),733.929777
2018,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),176.918834
2018,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),99.371739
2018,Budget,Ministry of Education & Training,,,Value in Millions (VT),1527.485227
2018,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),6356.087636
2018,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),186.130735
2018,Budget,Ministry of Health,,,Value in Millions (VT),838.170365
2018,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1171.024431
2018,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),669.827046
