Year,Series,Province,Island,Language,SchoolName,Year Level,Gender,Achievement Level,Value
2021,Numeracy - Year 4,Torba,Hiu,ENG,Martin,4,Male,meeting minimum standard,9
2021,Numeracy - Year 4,Torba,Hiu,ENG,Martin,4,Female,meeting minimum standard,4
2021,Numeracy - Year 4,Torba,Hiu,ENG,Martin,4,Male,exceeding minimum standard,5
2021,Numeracy - Year 4,Torba,Hiu,ENG,Martin,4,Female,exceeding minimum standard,2
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Male,critically below minimum standard,2
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Female,critically below minimum standard,4
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Male,approaching minimum standard,1
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Female,approaching minimum standard,4
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Male,meeting minimum standard,4
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Female,meeting minimum standard,4
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Male,exceeding minimum standard,1
2021,Numeracy - Year 4,Torba,Mere Lava,FRE,Nergar,4,Female,exceeding minimum standard,1
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Male,critically below minimum standard,3
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Female,critically below minimum standard,3
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Male,approaching minimum standard,5
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Female,approaching minimum standard,4
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Male,meeting minimum standard,5
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Female,meeting minimum standard,4
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Male,exceeding minimum standard,3
2021,Numeracy - Year 6,Torba,Mere Lava,FRE,Nergar,6,Female,exceeding minimum standard,0
2021,Alphabétisation Français - Année 6,Torba,Mere Lava,FRE,Nergar,6,Male,critically below minimum standard,5
2021,Alphabétisation Français - Année 6,Torba,Mere Lava,FRE,Nergar,6,Female,critically below minimum standard,4
2021,Alphabétisation Français - Année 6,Torba,Mere Lava,FRE,Nergar,6,Male,approaching minimum standard,5
2021,Alphabétisation Français - Année 6,Torba,Mere Lava,FRE,Nergar,6,Female,approaching minimum standard,2
2021,Alphabétisation Français - Année 6,Torba,Mere Lava,FRE,Nergar,6,Male,meeting minimum standard,2
2021,Alphabétisation Français - Année 6,Torba,Mere Lava,FRE,Nergar,6,Female,meeting minimum standard,4
2021,Alphabétisation Français - Année 4,Torba,Mere Lava,FRE,Nergar,4,Male,critically below minimum standard,4
2021,Alphabétisation Français - Année 4,Torba,Mere Lava,FRE,Nergar,4,Female,critically below minimum standard,4
2021,Alphabétisation Français - Année 4,Torba,Mere Lava,FRE,Nergar,4,Male,approaching minimum standard,4
2021,Alphabétisation Français - Année 4,Torba,Mere Lava,FRE,Nergar,4,Female,approaching minimum standard,5
2021,Alphabétisation Français - Année 4,Torba,Mere Lava,FRE,Nergar,4,Male,meeting minimum standard,0
2021,Alphabétisation Français - Année 4,Torba,Mere Lava,FRE,Nergar,4,Female,meeting minimum standard,1
2021,English Literacy - Year 4,Torba,Mota,ENG,Pasalele,4,Male,critically below minimum standard,11
2021,English Literacy - Year 4,Torba,Mota,ENG,Pasalele,4,Female,critically below minimum standard,8
2021,English Literacy - Year 4,Torba,Mota,ENG,Pasalele,4,Male,approaching minimum standard,8
2021,English Literacy - Year 4,Torba,Mota,ENG,Pasalele,4,Female,approaching minimum standard,6
2021,English Literacy - Year 4,Torba,Mota,ENG,Pasalele,4,Male,meeting minimum standard,1
2021,English Literacy - Year 4,Torba,Mota,ENG,Pasalele,4,Female,meeting minimum standard,3
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Male,critically below minimum standard,6
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Female,critically below minimum standard,9
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Male,approaching minimum standard,8
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Female,approaching minimum standard,10
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Male,meeting minimum standard,4
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Female,meeting minimum standard,6
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Male,exceeding minimum standard,0
2021,English Literacy - Year 6,Torba,Mota,ENG,Pasalele,6,Female,exceeding minimum standard,1
2021,Numeracy - Year 4,Torba,Mota,ENG,Pasalele,4,Male,critically below minimum standard,8
2021,Numeracy - Year 4,Torba,Mota,ENG,Pasalele,4,Female,critically below minimum standard,4
2021,Numeracy - Year 4,Torba,Mota,ENG,Pasalele,4,Male,approaching minimum standard,6
2021,Numeracy - Year 4,Torba,Mota,ENG,Pasalele,4,Female,approaching minimum standard,5
2021,Numeracy - Year 4,Torba,Mota,ENG,Pasalele,4,Male,meeting minimum standard,8
