Year,Series,Commodity,Country,Value
2024,Quantity (in tonnes kilogram),Medicaments,,60
2024,Quantity (in tonnes kilogram),Petroleum oils,,67580
2024,Quantity (in tonnes kilogram),Rice,,15336
2024,Quantity (in tonnes kilogram),Alcoholic drinks,China,1525
2024,Quantity (in tonnes kilogram),Alcoholic drinks,France,654
2024,Quantity (in tonnes kilogram),Alcoholic drinks,Singapore,318
2024,Quantity (in tonnes kilogram),Alcoholic drinks,Solomon Islands,218
2024,Quantity (in tonnes kilogram),Alcoholic drinks,United Kingdom,63
2024,Quantity (in tonnes kilogram),Iron or steel,China,5486
2024,Quantity (in tonnes kilogram),Iron or steel,Australia,331
2024,Quantity (in tonnes kilogram),Iron or steel,Japan,560
2024,Quantity (in tonnes kilogram),Iron or steel,New Zealand,88
2024,Quantity (in tonnes kilogram),Iron or steel,Fiji,111
2024,Quantity (in tonnes kilogram),Medicaments,Australia,35
2024,Quantity (in tonnes kilogram),Medicaments,New Zealand,6
2024,Quantity (in tonnes kilogram),Medicaments,India,15
2024,Quantity (in tonnes kilogram),Medicaments,United States of America,0
2024,Quantity (in tonnes kilogram),Medicaments,Fiji,4
2024,Quantity (in tonnes kilogram),Petroleum oils,Singapore,65892
2024,Quantity (in tonnes kilogram),Petroleum oils,Australia,350
2024,Quantity (in tonnes kilogram),Petroleum oils,New Zealand,954
2024,Quantity (in tonnes kilogram),Petroleum oils,United Arab Emirates,222
2024,Quantity (in tonnes kilogram),Petroleum oils,Malaysia,162
2024,Quantity (in tonnes kilogram),Rice,China,1467
2024,Quantity (in tonnes kilogram),Rice,Taiwan,6683
2024,Quantity (in tonnes kilogram),Rice,Vietnam,6686
2024,Quantity (in tonnes kilogram),Rice,Fiji,170
2024,Quantity (in tonnes kilogram),Rice,Thailand,330
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,,213
2021,Price per unit (vatu per kilogram/litre),Iron or steel,,241
2021,Price per unit (vatu per kilogram/litre),Medicaments,,2690
2021,Price per unit (vatu per kilogram/litre),Petroleum oils,,67
2021,Price per unit (vatu per kilogram/litre),Rice,,56
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,China,181
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,France,260
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Singapore,258
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,Solomon Islands,235
2021,Price per unit (vatu per kilogram/litre),Alcoholic drinks,United Kingdom,878
2021,Price per unit (vatu per kilogram/litre),Iron or steel,China,141
2021,Price per unit (vatu per kilogram/litre),Iron or steel,Australia,402
2021,Price per unit (vatu per kilogram/litre),Iron or steel,Japan,1468
2021,Price per unit (vatu per kilogram/litre),Iron or steel,New Zealand,260
2021,Price per unit (vatu per kilogram/litre),Iron or steel,Fiji,229
2021,Price per unit (vatu per kilogram/litre),Medicaments,Australia,1073
2021,Price per unit (vatu per kilogram/litre),Medicaments,New Zealand,19206
