Year,Series,Ministry,Department,Value
2016,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,70
2016,Actual Spent,Ministry of Justice and Social Welfare,Vanuatu Law Commission,16
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,40
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,72
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,73
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,20
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,25
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,44
2016,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,8
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,58
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,37
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,78
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",46
2016,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,89
2016,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,265
2016,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,40
2016,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,58
2016,Actual Spent,Prime Ministers Ministry,Government Remuneration Tribunal,13
2016,Actual Spent,Prime Ministers Ministry,Language Services Department,25
2016,Actual Spent,Prime Ministers Ministry,Office of the Government Chief Information Officer,276
2016,Actual Spent,Prime Ministers Ministry,Parliamentary Secretariat,57
2016,Actual Spent,Prime Ministers Ministry,PMO Corporate Service Unit,72
2016,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,124
2016,Actual Spent,Prime Ministers Ministry,Vanuatu Project Management Unit,25
2017,Actual Spent,Constitutional Agencies,Citizenship Office,17
2017,Actual Spent,Constitutional Agencies,Judicial Services Commission,0
2017,Actual Spent,Constitutional Agencies,Judiciary,247
2017,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,51
2017,Actual Spent,Constitutional Agencies,National Audit Office,36
2017,Actual Spent,Constitutional Agencies,Office of the Ombudsman,35
2017,Actual Spent,Constitutional Agencies,Parliament,618
2017,Actual Spent,Constitutional Agencies,President of the Republic,42
2017,Actual Spent,Constitutional Agencies,Public Prosecutor,74
2017,Actual Spent,Constitutional Agencies,Public Service Commission,156
2017,Actual Spent,Constitutional Agencies,Public Solicitor,56
2017,Actual Spent,Constitutional Agencies,State Law Office,165
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",136
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,146
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,130
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,149
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,73
2017,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,122
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",42
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,33
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,29
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,117
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,29
2017,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,124
2017,Actual Spent,Ministry of Education & Training,Director General Directorate,44
2017,Actual Spent,Ministry of Education & Training,Education Commissions and Councils,48
2017,Actual Spent,Ministry of Education & Training,Education Service Directorate,3658
2017,Actual Spent,Ministry of Education & Training,Finance & Administration Directorate,155
2017,Actual Spent,Ministry of Education & Training,MoE Cabinet,46
2017,Actual Spent,Ministry of Education & Training,Policy & Planning Directorate,28
2017,Actual Spent,Ministry of Education & Training,Tertiary Education Directorate,323
2017,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,449
2017,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,7071
2017,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,65
2017,Actual Spent,Ministry of Finance and Economic Management,MFEM Corporate Services,111
2017,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,68
2017,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",36
2017,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,422
2017,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,71
2017,Actual Spent,Ministry of Health,Department of Health,1923
2017,Actual Spent,Ministry of Health,Health Cabinet,94
2017,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,64
2017,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,214
2017,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,1112
2017,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,168
2017,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,19
2017,Actual Spent,Ministry of Internal Affairs,Department of Immigration,95
2017,Actual Spent,Ministry of Internal Affairs,Department of Labour,50
2017,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,314
2017,Actual Spent,Ministry of Internal Affairs,Electoral Office,90
2017,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,105
2017,Actual Spent,Ministry of Internal Affairs,Police Service Commission,8
2017,Actual Spent,Ministry of Internal Affairs,Vanuatu Mobile Force,286
2017,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,579
2017,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,212
2017,Actual Spent,Ministry of Justice and Social Welfare,Customary land management Office,33
2017,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,23
2017,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,52
2017,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,50
2017,Actual Spent,Ministry of Justice and Social Welfare,Vanuatu Law Commission,18
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,39
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,62
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,122
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,20
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,28
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,51
2017,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,10
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,70
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,43
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,79
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",50
2017,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,95
2017,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,491
2017,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,47
2017,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,69
2017,Actual Spent,Prime Ministers Ministry,Government Remuneration Tribunal,11
2017,Actual Spent,Prime Ministers Ministry,Language Services Department,29
2017,Actual Spent,Prime Ministers Ministry,Office of the Government Chief Information Officer,310
2017,Actual Spent,Prime Ministers Ministry,Parliamentary Secretariat,105
2017,Actual Spent,Prime Ministers Ministry,PMO Corporate Service Unit,42
2017,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,108
2017,Actual Spent,Prime Ministers Ministry,Vanuatu Project Management Unit,30
2018,Actual Spent,Constitutional Agencies,Citizenship Office,31
2018,Actual Spent,Constitutional Agencies,Judicial Services Commission,0
2018,Actual Spent,Constitutional Agencies,Judiciary,290
2018,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,103
2018,Actual Spent,Constitutional Agencies,National Audit Office,53
2018,Actual Spent,Constitutional Agencies,Office of the Ombudsman,57
2018,Actual Spent,Constitutional Agencies,Parliament,882
2018,Actual Spent,Constitutional Agencies,President of the Republic,56
2018,Actual Spent,Constitutional Agencies,Public Prosecutor,63
2018,Actual Spent,Constitutional Agencies,Public Service Commission,143
2018,Actual Spent,Constitutional Agencies,Public Solicitor,66
2018,Actual Spent,Constitutional Agencies,State Law Office,190
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",139
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,179
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,152
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,141
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,83
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,139
2018,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,26
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",57
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,19
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,31
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,34
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,58
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,40
2018,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,149
2018,Actual Spent,Ministry of Education & Training,Director General Directorate,52
2018,Actual Spent,Ministry of Education & Training,Education Commissions and Councils,75
2018,Actual Spent,Ministry of Education & Training,Education Service Directorate,4896
2018,Actual Spent,Ministry of Education & Training,Finance & Administration Directorate,178
2018,Actual Spent,Ministry of Education & Training,MoE Cabinet,93
2018,Actual Spent,Ministry of Education & Training,Policy & Planning Directorate,38
2018,Actual Spent,Ministry of Education & Training,Tertiary Education Directorate,393
2018,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,433
2018,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,10642
2018,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,82
2018,Actual Spent,Ministry of Finance and Economic Management,MFEM Corporate Services,200
2018,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,109
2018,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",30
2018,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,376
2018,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,108
2018,Actual Spent,Ministry of Health,Department of Health,2636
2018,Actual Spent,Ministry of Health,Health Cabinet,100
2018,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,77
2018,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,249
2018,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,1117
2018,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,139
2018,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,27
2018,Actual Spent,Ministry of Internal Affairs,Department of Immigration,110
2018,Actual Spent,Ministry of Internal Affairs,Department of Labour,58
2018,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,497
2018,Actual Spent,Ministry of Internal Affairs,Electoral Office,55
2018,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,176
2018,Actual Spent,Ministry of Internal Affairs,Police Service Commission,11
2018,Actual Spent,Ministry of Internal Affairs,Vanuatu Mobile Force,279
2018,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,793
2018,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,241
2018,Actual Spent,Ministry of Justice and Social Welfare,Customary land management Office,41
2018,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,30
2018,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,74
2018,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,66
2018,Actual Spent,Ministry of Justice and Social Welfare,Vanuatu Law Commission,22
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,57
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,76
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,127
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,21
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,35
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,49
2018,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,12
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,81
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,69
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,104
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",56
2018,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,136
2018,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,145
2018,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,55
2018,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,89
2018,Actual Spent,Prime Ministers Ministry,Government Remuneration Tribunal,13
2018,Actual Spent,Prime Ministers Ministry,Language Services Department,29
2018,Actual Spent,Prime Ministers Ministry,Office of the Government Chief Information Officer,318
2018,Actual Spent,Prime Ministers Ministry,Parliamentary Secretariat,24
2018,Actual Spent,Prime Ministers Ministry,PMO Corporate Service Unit,115
2018,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,132
2018,Actual Spent,Prime Ministers Ministry,Vanuatu Project Management Unit,29
2019,Actual Spent,Constitutional Agencies,Citizenship Office,33
2019,Actual Spent,Constitutional Agencies,Judicial Services Commission,1
2019,Actual Spent,Constitutional Agencies,Judiciary,304
2019,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,85
2019,Actual Spent,Constitutional Agencies,National Audit Office,74
2019,Actual Spent,Constitutional Agencies,Office of the Ombudsman,59
2019,Actual Spent,Constitutional Agencies,Parliament,946
2019,Actual Spent,Constitutional Agencies,President of the Republic,63
2019,Actual Spent,Constitutional Agencies,Public Prosecutor,82
2019,Actual Spent,Constitutional Agencies,Public Service Commission,145
2019,Actual Spent,Constitutional Agencies,Public Solicitor,70
2019,Actual Spent,Constitutional Agencies,State Law Office,189
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",170
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,287
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,173
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,203
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,100
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,184
2019,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,20
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",69
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,25
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,44
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,48
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,74
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,48
2019,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,157
2019,Actual Spent,Ministry of Education & Training,Director General Directorate,50
2019,Actual Spent,Ministry of Education & Training,Education Commissions and Councils,80
2019,Actual Spent,Ministry of Education & Training,Education Service Directorate,5727
2019,Actual Spent,Ministry of Education & Training,Finance & Administration Directorate,250
2019,Actual Spent,Ministry of Education & Training,MoE Cabinet,100
2019,Actual Spent,Ministry of Education & Training,Policy & Planning Directorate,38
2019,Actual Spent,Ministry of Education & Training,Tertiary Education Directorate,566
2019,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,522
2019,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,10856
2019,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,82
2019,Actual Spent,Ministry of Finance and Economic Management,MFEM Corporate Services,195
2019,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,125
2019,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",32
2019,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,433
2019,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,101
2019,Actual Spent,Ministry of Health,Department of Health,2773
2019,Actual Spent,Ministry of Health,Health Cabinet,107
2019,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,82
2019,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,261
2019,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,1083
2019,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,136
2019,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,28
2019,Actual Spent,Ministry of Internal Affairs,Department of Immigration,133
2019,Actual Spent,Ministry of Internal Affairs,Department of Labour,76
2019,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,732
2019,Actual Spent,Ministry of Internal Affairs,Electoral Office,122
2019,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,175
2019,Actual Spent,Ministry of Internal Affairs,Police Service Commission,22
2019,Actual Spent,Ministry of Internal Affairs,Vanuatu Mobile Force,324
2019,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,884
2019,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,265
2019,Actual Spent,Ministry of Justice and Social Welfare,Customary land management Office,49
2019,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,28
2019,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,76
2019,Actual Spent,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,61
2019,Actual Spent,Ministry of Justice and Social Welfare,Vanuatu Law Commission,21
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,61
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Corporate Services,74
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,169
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Records,21
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,38
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Department of Lands,49
2019,Actual Spent,"Ministry of Lands, Mines & Water Resources",Valuer General,17
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,81
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,65
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,95
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",92
2019,Actual Spent,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,147
2019,Actual Spent,Ministry of Youth Development and Sports,Department of Youth and Sport,120
2019,Actual Spent,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,63
2019,Actual Spent,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,108
2019,Actual Spent,Prime Ministers Ministry,Government Remuneration Tribunal,16
2019,Actual Spent,Prime Ministers Ministry,Language Services Department,38
2019,Actual Spent,Prime Ministers Ministry,Office of the Government Chief Information Officer,415
2019,Actual Spent,Prime Ministers Ministry,Parliamentary Secretariat,12
2019,Actual Spent,Prime Ministers Ministry,PMO Corporate Service Unit,95
2019,Actual Spent,Prime Ministers Ministry,Prime Ministers Cabinet,143
2019,Actual Spent,Prime Ministers Ministry,Vanuatu Project Management Unit,67
2020,Actual Spent,Constitutional Agencies,Citizenship Office,29
2020,Actual Spent,Constitutional Agencies,Judicial Services Commission,0
2020,Actual Spent,Constitutional Agencies,Judiciary,316
2020,Actual Spent,Constitutional Agencies,Malvatumauri Council of Chiefs,91
2020,Actual Spent,Constitutional Agencies,National Audit Office,68
2020,Actual Spent,Constitutional Agencies,Office of the Ombudsman,73
2020,Actual Spent,Constitutional Agencies,Parliament,1302
2020,Actual Spent,Constitutional Agencies,President of the Republic,62
2020,Actual Spent,Constitutional Agencies,Public Prosecutor,119
2020,Actual Spent,Constitutional Agencies,Public Service Commission,203
2020,Actual Spent,Constitutional Agencies,Public Solicitor,74
2020,Actual Spent,Constitutional Agencies,State Law Office,203
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",251
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,644
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,317
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,216
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,74
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,316
2020,Actual Spent,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,0
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",68
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,33
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,163
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,60
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,88
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,56
2020,Actual Spent,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,163
2020,Actual Spent,Ministry of Education & Training,Director General Directorate,50
2020,Actual Spent,Ministry of Education & Training,Education Commissions and Councils,125
2020,Actual Spent,Ministry of Education & Training,Education Service Directorate,6072
2020,Actual Spent,Ministry of Education & Training,Finance & Administration Directorate,393
2020,Actual Spent,Ministry of Education & Training,MoE Cabinet,80
2020,Actual Spent,Ministry of Education & Training,Policy & Planning Directorate,38
2020,Actual Spent,Ministry of Education & Training,Tertiary Education Directorate,709
2020,Actual Spent,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,590
2020,Actual Spent,Ministry of Finance and Economic Management,Department of Finance & Treasury,14338
2020,Actual Spent,Ministry of Finance and Economic Management,MFEM Cabinet,72
2020,Actual Spent,Ministry of Finance and Economic Management,MFEM Corporate Services,181
2020,Actual Spent,Ministry of Finance and Economic Management,National Statistics Office,287
2020,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",58
2020,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,483
2020,Actual Spent,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,94
2020,Actual Spent,Ministry of Health,Department of Health,3392
2020,Actual Spent,Ministry of Health,Health Cabinet,85
2020,Actual Spent,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,113
2020,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,288
2020,Actual Spent,Ministry of Infrastructure and Public Utilities,Department of Public Works,1069
2020,Actual Spent,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,168
2020,Actual Spent,Ministry of Internal Affairs,Civil Registry Office,38
2020,Actual Spent,Ministry of Internal Affairs,Department of Immigration,131
2020,Actual Spent,Ministry of Internal Affairs,Department of Labour,70
2020,Actual Spent,Ministry of Internal Affairs,Department of Provincial Affairs,870
2020,Actual Spent,Ministry of Internal Affairs,Electoral Office,153
2020,Actual Spent,Ministry of Internal Affairs,Internal Affairs Cabinet,307
2020,Actual Spent,Ministry of Internal Affairs,Police Service Commission,13
2020,Actual Spent,Ministry of Internal Affairs,Vanuatu Mobile Force,391
2020,Actual Spent,Ministry of Internal Affairs,Vanuatu Police Force,988
2020,Actual Spent,Ministry of Justice and Social Welfare,Correctional Services,313
2020,Actual Spent,Ministry of Justice and Social Welfare,Customary land management Office,61
2020,Actual Spent,Ministry of Justice and Social Welfare,Department of Womens Affairs,31
